 verse_id |        identifier        | verse_num | target_label |      target_text      | found_label |      found_text       | route_verse_num |                           predict_url                           
----------+--------------------------+-----------+--------------+-----------------------+-------------+-----------------------+-----------------+-----------------------------------------------------------------
    17146 | an04.067.piya.html       |         6 | LOC          | supreme               | LOC         | Supreme               |               5 | http://127.0.0.1:5000/predict/verse/an04.067.piya.html/5
    29546 | dhp.04.budd.html         |         1 | GPE          | yama                  | GPE         | Yama                  |               0 | http://127.0.0.1:5000/predict/verse/dhp.04.budd.html/0
    29546 | dhp.04.budd.html         |         1 | GPE          | yama                  | GPE         | Yama                  |               0 | http://127.0.0.1:5000/predict/verse/dhp.04.budd.html/0
    29547 | dhp.04.budd.html         |        44 | GPE          | yama                  | GPE         | Yama                  |               1 | http://127.0.0.1:5000/predict/verse/dhp.04.budd.html/1
    29548 | dhp.04.budd.html         |        45 | GPE          | yama                  | GPE         | Yama                  |               2 | http://127.0.0.1:5000/predict/verse/dhp.04.budd.html/2
    29595 | dhp.05.than.html         |        60 | PERSON       | long                  | PERSON      | Long                  |               0 | http://127.0.0.1:5000/predict/verse/dhp.05.than.html/0
    29637 | dhp.07.budd.html         |         1 | PERSON       | void                  | PERSON      | Void                  |               0 | http://127.0.0.1:5000/predict/verse/dhp.07.budd.html/0
    29637 | dhp.07.budd.html         |         1 | PERSON       | void                  | PERSON      | Void                  |               0 | http://127.0.0.1:5000/predict/verse/dhp.07.budd.html/0
    29640 | dhp.07.budd.html         |        92 | PERSON       | void                  | PERSON      | Void                  |               3 | http://127.0.0.1:5000/predict/verse/dhp.07.budd.html/3
    29641 | dhp.07.budd.html         |        93 | PERSON       | void                  | PERSON      | Void                  |               4 | http://127.0.0.1:5000/predict/verse/dhp.07.budd.html/4
    29657 | dhp.08.budd.html         |         1 | LOC          | supreme               | LOC         | Supreme               |               0 | http://127.0.0.1:5000/predict/verse/dhp.08.budd.html/0
    29657 | dhp.08.budd.html         |         1 | LOC          | supreme               | LOC         | Supreme               |               0 | http://127.0.0.1:5000/predict/verse/dhp.08.budd.html/0
    29672 | dhp.08.budd.html         |       115 | LOC          | supreme               | LOC         | Supreme               |              15 | http://127.0.0.1:5000/predict/verse/dhp.08.budd.html/15
    29672 | dhp.08.budd.html         |       115 | LOC          | supreme               | LOC         | Supreme               |              15 | http://127.0.0.1:5000/predict/verse/dhp.08.budd.html/15
    29833 | dhp.14.than.html         |       183 | PERSON       | awakened              | PERSON      | Awakened              |               4 | http://127.0.0.1:5000/predict/verse/dhp.14.than.html/4
    29834 | dhp.14.than.html         |       184 | PERSON       | awakened              | PERSON      | Awakened              |               5 | http://127.0.0.1:5000/predict/verse/dhp.14.than.html/5
    29835 | dhp.14.than.html         |       185 | PERSON       | awakened              | PERSON      | Awakened              |               6 | http://127.0.0.1:5000/predict/verse/dhp.14.than.html/6
    29959 | dhp.18.than.html         |       255 | PERSON       | awakened              | PERSON      | Awakened              |              18 | http://127.0.0.1:5000/predict/verse/dhp.18.than.html/18
    29960 | dhp.19.budd.html         |         1 | PERSON       | elder                 | PERSON      | Elder                 |               0 | http://127.0.0.1:5000/predict/verse/dhp.19.budd.html/0
    29966 | dhp.19.budd.html         |       261 | PERSON       | elder                 | PERSON      | Elder                 |               6 | http://127.0.0.1:5000/predict/verse/dhp.19.budd.html/6
    19647 | dn.01.0.bodh.html        |         1 | PERSON       | nalanda               | PERSON      | Nālandā               |               0 | http://127.0.0.1:5000/predict/verse/dn.01.0.bodh.html/0
